Target,Accuracy,K,Window_Size,Window_Overlap,Optimization_Level,Finite_Context,Time
english_polish_czech.txt,35.33,3,3,0,0,True,12.603
english_polish_czech.txt,37.13,3,3,0,0,False,12.596
english_polish_czech.txt,33.73,3,3,0.2,0,True,13.122
english_polish_czech.txt,42.12,3,3,0.2,0,False,13.19
english_polish_czech.txt,34.93,3,3,0.4,0,True,13.758
english_polish_czech.txt,39.02,3,3,0.4,0,False,13.482
english_polish_czech.txt,34.93,3,3,0.6,0,True,13.432
english_polish_czech.txt,39.02,3,3,0.6,0,False,13.467
english_polish_czech.txt,34.93,3,3,0.8,0,True,13.485
english_polish_czech.txt,39.02,3,3,0.8,0,False,13.419
english_polish_czech.txt,41.92,3,5,0,0,True,12.765
english_polish_czech.txt,31.34,3,5,0,0,False,12.796
english_polish_czech.txt,41.62,3,5,0.2,0,True,12.915
english_polish_czech.txt,39.72,3,5,0.2,0,False,12.854
english_polish_czech.txt,42.22,3,5,0.4,0,True,12.931
english_polish_czech.txt,50.8,3,5,0.4,0,False,12.97
english_polish_czech.txt,41.92,3,5,0.6,0,True,13.046
english_polish_czech.txt,51.3,3,5,0.6,0,False,13.006
english_polish_czech.txt,40.12,3,5,0.8,0,True,13.424
english_polish_czech.txt,51.8,3,5,0.8,0,False,13.506
english_polish_czech.txt,56.59,3,8,0,0,True,12.559
english_polish_czech.txt,36.33,3,8,0,0,False,12.798
english_polish_czech.txt,49.8,3,8,0.2,0,True,12.793
english_polish_czech.txt,45.61,3,8,0.2,0,False,12.8
english_polish_czech.txt,50.6,3,8,0.4,0,True,12.893
english_polish_czech.txt,41.12,3,8,0.4,0,False,12.821
english_polish_czech.txt,49.6,3,8,0.6,0,True,12.928
english_polish_czech.txt,44.21,3,8,0.6,0,False,12.861
english_polish_czech.txt,47.8,3,8,0.8,0,True,13.411
english_polish_czech.txt,47.21,3,8,0.8,0,False,13.476
english_polish_czech.txt,59.38,3,10,0,0,True,12.695
english_polish_czech.txt,33.23,3,10,0,0,False,12.804
english_polish_czech.txt,57.78,3,10,0.2,0,True,12.751
english_polish_czech.txt,17.66,3,10,0.2,0,False,12.856
english_polish_czech.txt,52.1,3,10,0.4,0,True,12.744
english_polish_czech.txt,32.04,3,10,0.4,0,False,12.774
english_polish_czech.txt,52.89,3,10,0.6,0,True,12.84
english_polish_czech.txt,42.51,3,10,0.6,0,False,12.886
english_polish_czech.txt,52.4,3,10,0.8,0,True,13.538
english_polish_czech.txt,54.79,3,10,0.8,0,False,13.486
english_polish_czech.txt,57.19,3,12,0,0,True,12.714
english_polish_czech.txt,0.0,3,12,0,0,False,12.712
english_polish_czech.txt,65.07,3,12,0.2,0,True,12.847
english_polish_czech.txt,33.63,3,12,0.2,0,False,12.693
english_polish_czech.txt,56.99,3,12,0.4,0,True,12.7
english_polish_czech.txt,34.33,3,12,0.4,0,False,12.723
english_polish_czech.txt,52.1,3,12,0.6,0,True,12.862
english_polish_czech.txt,18.06,3,12,0.6,0,False,12.747
english_polish_czech.txt,55.79,3,12,0.8,0,True,13.074
english_polish_czech.txt,18.46,3,12,0.8,0,False,13.077
english_polish_czech.txt,64.97,3,15,0,0,True,12.637
english_polish_czech.txt,0.0,3,15,0,0,False,12.647
