Target,Accuracy,K,Window_Size,Window_Overlap,Optimization_Level,Finite_Context,Time
french_italian_hungarian.txt,33.04,3,3,0,0,True,12.537
french_italian_hungarian.txt,49.9,3,3,0,0,False,12.816
french_italian_hungarian.txt,34.52,3,3,0.2,0,True,13.249
french_italian_hungarian.txt,52.28,3,3,0.2,0,False,13.905
french_italian_hungarian.txt,34.52,3,3,0.4,0,True,13.418
french_italian_hungarian.txt,41.96,3,3,0.4,0,False,13.373
french_italian_hungarian.txt,34.52,3,3,0.6,0,True,13.465
french_italian_hungarian.txt,41.96,3,3,0.6,0,False,13.402
french_italian_hungarian.txt,34.52,3,3,0.8,0,True,14.081
french_italian_hungarian.txt,41.96,3,3,0.8,0,False,13.443
french_italian_hungarian.txt,44.84,3,5,0,0,True,12.782
french_italian_hungarian.txt,66.96,3,5,0,0,False,12.761
french_italian_hungarian.txt,40.48,3,5,0.2,0,True,12.753
french_italian_hungarian.txt,61.31,3,5,0.2,0,False,12.811
french_italian_hungarian.txt,39.88,3,5,0.4,0,True,12.942
french_italian_hungarian.txt,65.67,3,5,0.4,0,False,12.944
french_italian_hungarian.txt,41.07,3,5,0.6,0,True,12.97
french_italian_hungarian.txt,64.48,3,5,0.6,0,False,13.074
french_italian_hungarian.txt,40.28,3,5,0.8,0,True,13.408
french_italian_hungarian.txt,63.49,3,5,0.8,0,False,13.446
french_italian_hungarian.txt,51.39,3,8,0,0,True,12.822
french_italian_hungarian.txt,64.88,3,8,0,0,False,12.672
french_italian_hungarian.txt,53.87,3,8,0.2,0,True,12.817
french_italian_hungarian.txt,55.26,3,8,0.2,0,False,12.693
french_italian_hungarian.txt,50.5,3,8,0.4,0,True,12.842
french_italian_hungarian.txt,69.44,3,8,0.4,0,False,12.814
french_italian_hungarian.txt,47.92,3,8,0.6,0,True,12.879
french_italian_hungarian.txt,54.56,3,8,0.6,0,False,12.832
french_italian_hungarian.txt,46.63,3,8,0.8,0,True,13.478
french_italian_hungarian.txt,68.45,3,8,0.8,0,False,13.334
french_italian_hungarian.txt,52.78,3,10,0,0,True,12.747
