Target,Accuracy,K,Window_Size,Window_Overlap,Optimization_Level,Finite_Context,Time
german_estonian_finish.txt,46.77,3,3,0,0,True,12.791
german_estonian_finish.txt,68.41,3,3,0,0,False,12.967
german_estonian_finish.txt,44.59,3,3,0.2,0,True,13.636
german_estonian_finish.txt,59.96,3,3,0.2,0,False,13.054
german_estonian_finish.txt,44.59,3,3,0.4,0,True,13.599
german_estonian_finish.txt,50.09,3,3,0.4,0,False,13.381
german_estonian_finish.txt,44.59,3,3,0.6,0,True,13.392
german_estonian_finish.txt,50.09,3,3,0.6,0,False,13.487
german_estonian_finish.txt,44.59,3,3,0.8,0,True,13.471
german_estonian_finish.txt,50.09,3,3,0.8,0,False,13.387
german_estonian_finish.txt,55.31,3,5,0,0,True,12.774
german_estonian_finish.txt,83.3,3,5,0,0,False,12.752
german_estonian_finish.txt,52.37,3,5,0.2,0,True,12.683
german_estonian_finish.txt,64.9,3,5,0.2,0,False,12.885
german_estonian_finish.txt,53.98,3,5,0.4,0,True,12.835
german_estonian_finish.txt,82.83,3,5,0.4,0,False,12.83
german_estonian_finish.txt,50.38,3,5,0.6,0,True,13.068
german_estonian_finish.txt,87.67,3,5,0.6,0,False,13.068
german_estonian_finish.txt,51.71,3,5,0.8,0,True,13.468
german_estonian_finish.txt,72.39,3,5,0.8,0,False,13.536
german_estonian_finish.txt,69.35,3,8,0,0,True,12.686
german_estonian_finish.txt,46.11,3,8,0,0,False,12.718
german_estonian_finish.txt,65.09,3,8,0.2,0,True,12.761
german_estonian_finish.txt,45.83,3,8,0.2,0,False,12.799
german_estonian_finish.txt,66.22,3,8,0.4,0,True,12.789
german_estonian_finish.txt,59.01,3,8,0.4,0,False,12.804
german_estonian_finish.txt,63.19,3,8,0.6,0,True,12.89
german_estonian_finish.txt,58.35,3,8,0.6,0,False,12.901
german_estonian_finish.txt,60.82,3,8,0.8,0,True,13.539
german_estonian_finish.txt,79.98,3,8,0.8,0,False,13.52
german_estonian_finish.txt,68.31,3,10,0,0,True,12.729
german_estonian_finish.txt,46.3,3,10,0,0,False,12.647
german_estonian_finish.txt,65.28,3,10,0.2,0,True,12.774
german_estonian_finish.txt,46.39,3,10,0.2,0,False,12.684
german_estonian_finish.txt,64.23,3,10,0.4,0,True,12.884
german_estonian_finish.txt,46.11,3,10,0.4,0,False,12.767
german_estonian_finish.txt,66.51,3,10,0.6,0,True,12.977
german_estonian_finish.txt,46.39,3,10,0.6,0,False,12.921
german_estonian_finish.txt,65.28,3,10,0.8,0,True,13.546
german_estonian_finish.txt,46.3,3,10,0.8,0,False,13.58
german_estonian_finish.txt,72.39,3,12,0,0,True,12.711
german_estonian_finish.txt,40.8,3,12,0,0,False,12.659
german_estonian_finish.txt,76.0,3,12,0.2,0,True,12.648
german_estonian_finish.txt,46.11,3,12,0.2,0,False,12.584
german_estonian_finish.txt,77.61,3,12,0.4,0,True,12.864
german_estonian_finish.txt,45.92,3,12,0.4,0,False,12.931
german_estonian_finish.txt,69.64,3,12,0.6,0,True,12.856
german_estonian_finish.txt,46.02,3,12,0.6,0,False,12.881
german_estonian_finish.txt,70.59,3,12,0.8,0,True,13.02
german_estonian_finish.txt,46.2,3,12,0.8,0,False,13.057
german_estonian_finish.txt,74.67,3,15,0,0,True,12.593
german_estonian_finish.txt,46.11,3,15,0,0,False,12.561
german_estonian_finish.txt,79.41,3,15,0.2,0,True,12.709
german_estonian_finish.txt,17.55,3,15,0.2,0,False,12.578
german_estonian_finish.txt,74.86,3,15,0.4,0,True,12.749
german_estonian_finish.txt,46.11,3,15,0.4,0,False,12.652
german_estonian_finish.txt,75.14,3,15,0.6,0,True,12.786
german_estonian_finish.txt,17.74,3,15,0.6,0,False,12.685
german_estonian_finish.txt,74.67,3,15,0.8,0,True,13.115
german_estonian_finish.txt,46.02,3,15,0.8,0,False,13.017
german_estonian_finish.txt,46.77,3,3,0,1,True,12.875
german_estonian_finish.txt,69.64,3,3,0,1,False,13.166
german_estonian_finish.txt,44.78,3,3,0.2,1,True,13.565
german_estonian_finish.txt,63.76,3,3,0.2,1,False,13.363
german_estonian_finish.txt,44.59,3,3,0.4,1,True,13.494
german_estonian_finish.txt,52.09,3,3,0.4,1,False,14.226
german_estonian_finish.txt,44.59,3,3,0.6,1,True,13.49
german_estonian_finish.txt,52.09,3,3,0.6,1,False,14.452
german_estonian_finish.txt,44.59,3,3,0.8,1,True,13.488
german_estonian_finish.txt,52.09,3,3,0.8,1,False,14.399
german_estonian_finish.txt,55.79,3,5,0,1,True,12.947
german_estonian_finish.txt,83.3,3,5,0,1,False,12.783
german_estonian_finish.txt,52.75,3,5,0.2,1,True,12.949
german_estonian_finish.txt,64.9,3,5,0.2,1,False,12.799
german_estonian_finish.txt,54.55,3,5,0.4,1,True,13.11
german_estonian_finish.txt,82.83,3,5,0.4,1,False,12.894
german_estonian_finish.txt,50.38,3,5,0.6,1,True,13.404
german_estonian_finish.txt,88.33,3,5,0.6,1,False,13.556
german_estonian_finish.txt,51.71,3,5,0.8,1,True,14.394
german_estonian_finish.txt,88.61,3,5,0.8,1,False,14.386
german_estonian_finish.txt,70.87,3,8,0,1,True,12.814
german_estonian_finish.txt,46.11,3,8,0,1,False,12.667
german_estonian_finish.txt,65.09,3,8,0.2,1,True,12.832
german_estonian_finish.txt,45.83,3,8,0.2,1,False,12.828
german_estonian_finish.txt,67.36,3,8,0.4,1,True,13.052
german_estonian_finish.txt,58.35,3,8,0.4,1,False,13.034
german_estonian_finish.txt,63.19,3,8,0.6,1,True,13.198
german_estonian_finish.txt,58.35,3,8,0.6,1,False,12.878
german_estonian_finish.txt,61.1,3,8,0.8,1,True,14.208
german_estonian_finish.txt,79.32,3,8,0.8,1,False,14.398
german_estonian_finish.txt,69.26,3,10,0,1,True,12.814
german_estonian_finish.txt,46.3,3,10,0,1,False,12.665
german_estonian_finish.txt,66.51,3,10,0.2,1,True,12.854
german_estonian_finish.txt,46.39,3,10,0.2,1,False,12.682
german_estonian_finish.txt,46.39,3,10,0.4,1,True,1.32
german_estonian_finish.txt,46.11,3,10,0.4,1,False,12.751
german_estonian_finish.txt,66.51,3,10,0.6,1,True,13.114
german_estonian_finish.txt,46.39,3,10,0.6,1,False,12.926
german_estonian_finish.txt,65.28,3,10,0.8,1,True,14.443
german_estonian_finish.txt,46.3,3,10,0.8,1,False,13.629
german_estonian_finish.txt,73.34,3,12,0,1,True,12.765
german_estonian_finish.txt,17.27,3,12,0,1,False,12.736
german_estonian_finish.txt,76.85,3,12,0.2,1,True,12.742
german_estonian_finish.txt,46.11,3,12,0.2,1,False,12.677
german_estonian_finish.txt,79.32,3,12,0.4,1,True,12.913
german_estonian_finish.txt,45.92,3,12,0.4,1,False,12.746
german_estonian_finish.txt,71.54,3,12,0.6,1,True,12.995
german_estonian_finish.txt,71.54,3,12,0.6,1,False,12.607
german_estonian_finish.txt,68.31,3,12,0.8,1,True,13.627
german_estonian_finish.txt,46.2,3,12,0.8,1,False,13.114
german_estonian_finish.txt,80.36,3,15,0,1,True,12.754
german_estonian_finish.txt,80.36,3,15,0,1,False,5.748
german_estonian_finish.txt,89.09,3,15,0.2,1,True,12.801
german_estonian_finish.txt,17.55,3,15,0.2,1,False,12.721
german_estonian_finish.txt,80.83,3,15,0.4,1,True,12.821
german_estonian_finish.txt,46.11,3,15,0.4,1,False,12.586
german_estonian_finish.txt,82.54,3,15,0.6,1,True,12.818
german_estonian_finish.txt,17.74,3,15,0.6,1,False,12.779
german_estonian_finish.txt,76.09,3,15,0.8,1,True,13.436
german_estonian_finish.txt,46.02,3,15,0.8,1,False,13.173
german_estonian_finish.txt,46.02,3,3,0,2,True,5.692
german_estonian_finish.txt,88.9,3,3,0,2,False,13.165
german_estonian_finish.txt,45.16,3,3,0.2,2,True,13.486
german_estonian_finish.txt,88.33,3,3,0.2,2,False,13.435
german_estonian_finish.txt,44.59,3,3,0.4,2,True,13.511
german_estonian_finish.txt,58.35,3,3,0.4,2,False,14.677
german_estonian_finish.txt,44.59,3,3,0.6,2,True,13.382
german_estonian_finish.txt,58.35,3,3,0.6,2,False,14.697
german_estonian_finish.txt,44.59,3,3,0.8,2,True,13.41
german_estonian_finish.txt,58.35,3,3,0.8,2,False,14.584
german_estonian_finish.txt,56.26,3,5,0,2,True,12.984
german_estonian_finish.txt,83.3,3,5,0,2,False,12.822
german_estonian_finish.txt,52.75,3,5,0.2,2,True,13.104
german_estonian_finish.txt,64.9,3,5,0.2,2,False,12.802
german_estonian_finish.txt,54.84,3,5,0.4,2,True,13.421
german_estonian_finish.txt,82.83,3,5,0.4,2,False,13.037
german_estonian_finish.txt,50.76,3,5,0.6,2,True,13.37
german_estonian_finish.txt,88.33,3,5,0.6,2,False,13.52
german_estonian_finish.txt,52.18,3,5,0.8,2,True,15.151
german_estonian_finish.txt,88.61,3,5,0.8,2,False,14.364
german_estonian_finish.txt,72.39,3,8,0,2,True,12.858
german_estonian_finish.txt,46.11,3,8,0,2,False,12.672
german_estonian_finish.txt,67.36,3,8,0.2,2,True,12.782
german_estonian_finish.txt,45.83,3,8,0.2,2,False,12.854
german_estonian_finish.txt,70.02,3,8,0.4,2,True,13.263
german_estonian_finish.txt,58.35,3,8,0.4,2,False,13.028
german_estonian_finish.txt,63.76,3,8,0.6,2,True,13.328
german_estonian_finish.txt,58.35,3,8,0.6,2,False,12.957
german_estonian_finish.txt,61.29,3,8,0.8,2,True,14.829
german_estonian_finish.txt,79.32,3,8,0.8,2,False,14.439
german_estonian_finish.txt,75.81,3,10,0,2,True,12.848
german_estonian_finish.txt,46.3,3,10,0,2,False,12.685
german_estonian_finish.txt,73.34,3,10,0.2,2,True,12.857
german_estonian_finish.txt,46.39,3,10,0.2,2,False,12.701
german_estonian_finish.txt,68.22,3,10,0.4,2,True,13.188
german_estonian_finish.txt,46.11,3,10,0.4,2,False,12.837
german_estonian_finish.txt,67.65,3,10,0.6,2,True,13.42
german_estonian_finish.txt,46.39,3,10,0.6,2,False,12.9
german_estonian_finish.txt,67.36,3,10,0.8,2,True,14.858
german_estonian_finish.txt,46.3,3,10,0.8,2,False,13.582
german_estonian_finish.txt,78.37,3,12,0,2,True,12.796
german_estonian_finish.txt,40.8,3,12,0,2,False,12.672
german_estonian_finish.txt,90.89,3,12,0.2,2,True,12.927
german_estonian_finish.txt,46.11,3,12,0.2,2,False,12.819
german_estonian_finish.txt,87.76,3,12,0.4,2,True,12.999
german_estonian_finish.txt,45.92,3,12,0.4,2,False,12.759
german_estonian_finish.txt,73.81,3,12,0.6,2,True,13.133
german_estonian_finish.txt,46.02,3,12,0.6,2,False,12.83
german_estonian_finish.txt,74.38,3,12,0.8,2,True,13.696
german_estonian_finish.txt,46.2,3,12,0.8,2,False,13.082
german_estonian_finish.txt,89.85,3,15,0,2,True,12.763
german_estonian_finish.txt,46.11,3,15,0,2,False,12.788
german_estonian_finish.txt,91.18,3,15,0.2,2,True,12.739
german_estonian_finish.txt,17.55,3,15,0.2,2,False,12.696
german_estonian_finish.txt,83.4,3,15,0.4,2,True,12.863
german_estonian_finish.txt,46.11,3,15,0.4,2,False,12.662
german_estonian_finish.txt,91.65,3,15,0.6,2,True,12.967
german_estonian_finish.txt,17.74,3,15,0.6,2,False,12.635
german_estonian_finish.txt,88.05,3,15,0.8,2,True,13.63
german_estonian_finish.txt,46.02,3,15,0.8,2,False,13.042
german_estonian_finish.txt,47.34,3,3,0,3,True,13.146
german_estonian_finish.txt,88.9,3,3,0,3,False,13.327
german_estonian_finish.txt,45.16,3,3,0.2,3,True,13.789
german_estonian_finish.txt,89.09,3,3,0.2,3,False,13.724
german_estonian_finish.txt,44.97,3,3,0.4,3,True,14.168
german_estonian_finish.txt,83.11,3,3,0.4,3,False,14.461
german_estonian_finish.txt,44.97,3,3,0.6,3,True,14.209
german_estonian_finish.txt,83.11,3,3,0.6,3,False,14.612
german_estonian_finish.txt,44.97,3,3,0.8,3,True,14.255
german_estonian_finish.txt,83.11,3,3,0.8,3,False,14.445
german_estonian_finish.txt,57.69,3,5,0,3,True,13.244
german_estonian_finish.txt,83.3,3,5,0,3,False,12.771
german_estonian_finish.txt,53.98,3,5,0.2,3,True,13.32
german_estonian_finish.txt,64.9,3,5,0.2,3,False,12.869
german_estonian_finish.txt,55.98,3,5,0.4,3,True,13.535
german_estonian_finish.txt,55.98,3,5,0.4,3,False,0.669
german_estonian_finish.txt,50.76,3,5,0.6,3,True,13.478
german_estonian_finish.txt,88.33,3,5,0.6,3,False,13.534
german_estonian_finish.txt,52.28,3,5,0.8,3,True,14.907
german_estonian_finish.txt,88.61,3,5,0.8,3,False,14.354
german_estonian_finish.txt,84.54,3,8,0,3,True,12.982
german_estonian_finish.txt,46.11,3,8,0,3,False,12.693
german_estonian_finish.txt,79.79,3,8,0.2,3,True,13.019
german_estonian_finish.txt,45.83,3,8,0.2,3,False,12.768
german_estonian_finish.txt,84.16,3,8,0.4,3,True,13.106
german_estonian_finish.txt,35.67,3,8,0.4,3,False,13.045
german_estonian_finish.txt,68.79,3,8,0.6,3,True,13.461
german_estonian_finish.txt,58.35,3,8,0.6,3,False,12.888
german_estonian_finish.txt,66.32,3,8,0.8,3,True,15.241
german_estonian_finish.txt,79.32,3,8,0.8,3,False,14.499
german_estonian_finish.txt,90.32,3,10,0,3,True,12.938
german_estonian_finish.txt,46.3,3,10,0,3,False,12.743
german_estonian_finish.txt,89.66,3,10,0.2,3,True,12.916
german_estonian_finish.txt,46.39,3,10,0.2,3,False,12.801
german_estonian_finish.txt,46.39,3,10,0.4,3,True,10.177
german_estonian_finish.txt,46.11,3,10,0.4,3,False,12.692
german_estonian_finish.txt,74.29,3,10,0.6,3,True,13.273
german_estonian_finish.txt,46.39,3,10,0.6,3,False,12.767
german_estonian_finish.txt,74.38,3,10,0.8,3,True,14.91
german_estonian_finish.txt,46.3,3,10,0.8,3,False,13.639
german_estonian_finish.txt,91.18,3,12,0,3,True,12.909
german_estonian_finish.txt,40.8,3,12,0,3,False,12.762
german_estonian_finish.txt,90.89,3,12,0.2,3,True,12.903
german_estonian_finish.txt,46.11,3,12,0.2,3,False,12.768
german_estonian_finish.txt,91.08,3,12,0.4,3,True,12.92
german_estonian_finish.txt,45.92,3,12,0.4,3,False,12.588
german_estonian_finish.txt,90.42,3,12,0.6,3,True,13.217
german_estonian_finish.txt,46.02,3,12,0.6,3,False,12.734
german_estonian_finish.txt,90.23,3,12,0.8,3,True,13.572
german_estonian_finish.txt,46.2,3,12,0.8,3,False,13.113
german_estonian_finish.txt,89.85,3,15,0,3,True,12.748
german_estonian_finish.txt,46.11,3,15,0,3,False,12.69
german_estonian_finish.txt,93.93,3,15,0.2,3,True,12.752
german_estonian_finish.txt,17.55,3,15,0.2,3,False,12.674
german_estonian_finish.txt,94.12,3,15,0.4,3,True,12.839
german_estonian_finish.txt,46.11,3,15,0.4,3,False,12.622
german_estonian_finish.txt,91.65,3,15,0.6,3,True,12.985
german_estonian_finish.txt,17.74,3,15,0.6,3,False,12.685
german_estonian_finish.txt,90.51,3,15,0.8,3,True,13.732
german_estonian_finish.txt,46.02,3,15,0.8,3,False,13.385
german_estonian_finish.txt,69.07,5,3,0,0,True,16.177
german_estonian_finish.txt,81.69,5,3,0,0,False,16.472
german_estonian_finish.txt,71.35,5,3,0.2,0,True,17.076
german_estonian_finish.txt,75.33,5,3,0.2,0,False,17.303
german_estonian_finish.txt,68.22,5,3,0.4,0,True,17.856
german_estonian_finish.txt,78.37,5,3,0.4,0,False,17.868
german_estonian_finish.txt,68.22,5,3,0.6,0,True,18.089
german_estonian_finish.txt,78.37,5,3,0.6,0,False,17.94
german_estonian_finish.txt,68.22,5,3,0.8,0,True,17.878
german_estonian_finish.txt,78.37,5,3,0.8,0,False,17.843
german_estonian_finish.txt,82.92,5,5,0,0,True,17.16
german_estonian_finish.txt,78.56,5,5,0,0,False,17.065
german_estonian_finish.txt,80.83,5,5,0.2,0,True,17.319
german_estonian_finish.txt,67.27,5,5,0.2,0,False,17.286
german_estonian_finish.txt,78.56,5,5,0.4,0,True,17.711
german_estonian_finish.txt,68.69,5,5,0.4,0,False,17.348
german_estonian_finish.txt,79.13,5,5,0.6,0,True,17.588
german_estonian_finish.txt,75.52,5,5,0.6,0,False,17.395
german_estonian_finish.txt,79.22,5,5,0.8,0,True,17.858
german_estonian_finish.txt,73.15,5,5,0.8,0,False,17.876
german_estonian_finish.txt,93.93,5,8,0,0,True,17.032
german_estonian_finish.txt,57.69,5,8,0,0,False,17.069
german_estonian_finish.txt,93.83,5,8,0.2,0,True,17.316
german_estonian_finish.txt,62.14,5,8,0.2,0,False,17.32
german_estonian_finish.txt,93.83,5,8,0.4,0,True,17.077
german_estonian_finish.txt,69.26,5,8,0.4,0,False,17.391
german_estonian_finish.txt,93.07,5,8,0.6,0,True,17.458
german_estonian_finish.txt,67.46,5,8,0.6,0,False,17.445
german_estonian_finish.txt,85.67,5,8,0.8,0,True,17.694
german_estonian_finish.txt,73.53,5,8,0.8,0,False,18.001
german_estonian_finish.txt,94.31,5,10,0,0,True,17.307
german_estonian_finish.txt,48.01,5,10,0,0,False,17.1
german_estonian_finish.txt,95.16,5,10,0.2,0,True,17.26
german_estonian_finish.txt,57.02,5,10,0.2,0,False,17.143
german_estonian_finish.txt,93.83,5,10,0.4,0,True,17.27
german_estonian_finish.txt,62.33,5,10,0.4,0,False,17.416
german_estonian_finish.txt,94.02,5,10,0.6,0,True,17.294
german_estonian_finish.txt,62.33,5,10,0.6,0,False,17.303
german_estonian_finish.txt,92.31,5,10,0.8,0,True,17.95
german_estonian_finish.txt,62.62,5,10,0.8,0,False,18.022
german_estonian_finish.txt,95.64,5,12,0,0,True,17.137
german_estonian_finish.txt,56.07,5,12,0,0,False,17.338
german_estonian_finish.txt,97.15,5,12,0.2,0,True,17.566
german_estonian_finish.txt,61.48,5,12,0.2,0,False,17.613
german_estonian_finish.txt,94.59,5,12,0.4,0,True,17.319
german_estonian_finish.txt,62.05,5,12,0.4,0,False,17.168
german_estonian_finish.txt,94.21,5,12,0.6,0,True,17.596
german_estonian_finish.txt,62.33,5,12,0.6,0,False,17.621
german_estonian_finish.txt,93.64,5,12,0.8,0,True,17.799
german_estonian_finish.txt,62.52,5,12,0.8,0,False,17.6
german_estonian_finish.txt,96.58,5,15,0,0,True,17.173
german_estonian_finish.txt,48.67,5,15,0,0,False,17.282
german_estonian_finish.txt,96.68,5,15,0.2,0,True,17.179
german_estonian_finish.txt,61.48,5,15,0.2,0,False,17.474
german_estonian_finish.txt,97.63,5,15,0.4,0,True,17.586
german_estonian_finish.txt,48.39,5,15,0.4,0,False,17.704
