Target,Accuracy,K,Window_Size,Window_Overlap,Optimization_Level,Finite_Context,Time
swedish_german_slovak.txt,32.67,3,3,0,0,True,13.098
swedish_german_slovak.txt,38.86,3,3,0,0,False,13.499
swedish_german_slovak.txt,34.95,3,3,0.2,0,True,13.123
swedish_german_slovak.txt,39.71,3,3,0.2,0,False,12.95
swedish_german_slovak.txt,33.81,3,3,0.4,0,True,13.455
swedish_german_slovak.txt,38.86,3,3,0.4,0,False,13.454
swedish_german_slovak.txt,33.81,3,3,0.6,0,True,13.534
swedish_german_slovak.txt,38.86,3,3,0.6,0,False,13.453
swedish_german_slovak.txt,33.81,3,3,0.8,0,True,13.365
swedish_german_slovak.txt,38.86,3,3,0.8,0,False,13.413
swedish_german_slovak.txt,39.9,3,5,0,0,True,12.736
swedish_german_slovak.txt,32.29,3,5,0,0,False,12.703
swedish_german_slovak.txt,40.48,3,5,0.2,0,True,12.797
swedish_german_slovak.txt,32.19,3,5,0.2,0,False,12.835
swedish_german_slovak.txt,40.95,3,5,0.4,0,True,12.889
swedish_german_slovak.txt,32.19,3,5,0.4,0,False,12.912
swedish_german_slovak.txt,41.14,3,5,0.6,0,True,13.056
swedish_german_slovak.txt,29.9,3,5,0.6,0,False,13.113
swedish_german_slovak.txt,40.48,3,5,0.8,0,True,13.475
swedish_german_slovak.txt,34.0,3,5,0.8,0,False,13.482
swedish_german_slovak.txt,45.43,3,8,0,0,True,12.705
swedish_german_slovak.txt,15.14,3,8,0,0,False,12.745
swedish_german_slovak.txt,51.14,3,8,0.2,0,True,12.738
swedish_german_slovak.txt,27.71,3,8,0.2,0,False,12.763
swedish_german_slovak.txt,46.76,3,8,0.4,0,True,12.732
swedish_german_slovak.txt,27.33,3,8,0.4,0,False,12.799
swedish_german_slovak.txt,50.0,3,8,0.6,0,True,12.892
swedish_german_slovak.txt,28.38,3,8,0.6,0,False,12.883
swedish_german_slovak.txt,46.57,3,8,0.8,0,True,13.612
swedish_german_slovak.txt,23.33,3,8,0.8,0,False,13.606
swedish_german_slovak.txt,57.14,3,10,0,0,True,12.719
swedish_german_slovak.txt,34.57,3,10,0,0,False,12.657
swedish_german_slovak.txt,55.05,3,10,0.2,0,True,12.742
swedish_german_slovak.txt,20.86,3,10,0.2,0,False,12.74
swedish_german_slovak.txt,52.19,3,10,0.4,0,True,12.822
swedish_german_slovak.txt,22.95,3,10,0.4,0,False,12.857
swedish_german_slovak.txt,52.86,3,10,0.6,0,True,12.912
swedish_german_slovak.txt,26.86,3,10,0.6,0,False,12.967
swedish_german_slovak.txt,50.19,3,10,0.8,0,True,13.656
swedish_german_slovak.txt,28.38,3,10,0.8,0,False,13.619
swedish_german_slovak.txt,56.48,3,12,0,0,True,12.715
swedish_german_slovak.txt,13.81,3,12,0,0,False,12.742
swedish_german_slovak.txt,52.0,3,12,0.2,0,True,12.721
swedish_german_slovak.txt,29.24,3,12,0.2,0,False,12.727
swedish_german_slovak.txt,56.76,3,12,0.4,0,True,12.759
swedish_german_slovak.txt,22.67,3,12,0.4,0,False,12.711
swedish_german_slovak.txt,55.43,3,12,0.6,0,True,12.785
swedish_german_slovak.txt,17.62,3,12,0.6,0,False,12.84
swedish_german_slovak.txt,52.86,3,12,0.8,0,True,13.08
swedish_german_slovak.txt,22.29,3,12,0.8,0,False,13.089
swedish_german_slovak.txt,63.05,3,15,0,0,True,12.657
swedish_german_slovak.txt,26.76,3,15,0,0,False,12.687
swedish_german_slovak.txt,59.43,3,15,0.2,0,True,12.606
swedish_german_slovak.txt,25.9,3,15,0.2,0,False,12.651
swedish_german_slovak.txt,55.52,3,15,0.4,0,True,12.75
swedish_german_slovak.txt,26.19,3,15,0.4,0,False,12.702
swedish_german_slovak.txt,58.38,3,15,0.6,0,True,12.718
swedish_german_slovak.txt,26.48,3,15,0.6,0,False,12.742
swedish_german_slovak.txt,60.0,3,15,0.8,0,True,13.199
swedish_german_slovak.txt,14.0,3,15,0.8,0,False,13.15
swedish_german_slovak.txt,32.95,3,3,0,1,True,13.1
swedish_german_slovak.txt,38.86,3,3,0,1,False,13.182
swedish_german_slovak.txt,35.33,3,3,0.2,1,True,13.444
swedish_german_slovak.txt,39.71,3,3,0.2,1,False,13.388
swedish_german_slovak.txt,33.9,3,3,0.4,1,True,14.257
swedish_german_slovak.txt,38.86,3,3,0.4,1,False,13.561
swedish_german_slovak.txt,33.9,3,3,0.6,1,True,14.254
swedish_german_slovak.txt,38.86,3,3,0.6,1,False,13.476
swedish_german_slovak.txt,33.9,3,3,0.8,1,True,14.305
swedish_german_slovak.txt,38.86,3,3,0.8,1,False,13.446
swedish_german_slovak.txt,39.9,3,5,0,1,True,13.077
swedish_german_slovak.txt,41.33,3,5,0,1,False,12.921
swedish_german_slovak.txt,40.48,3,5,0.2,1,True,12.893
swedish_german_slovak.txt,32.19,3,5,0.2,1,False,13.026
swedish_german_slovak.txt,40.95,3,5,0.4,1,True,13.226
swedish_german_slovak.txt,34.19,3,5,0.4,1,False,13.274
swedish_german_slovak.txt,41.14,3,5,0.6,1,True,13.767
swedish_german_slovak.txt,30.1,3,5,0.6,1,False,13.367
swedish_german_slovak.txt,40.48,3,5,0.8,1,True,14.45
swedish_german_slovak.txt,35.14,3,5,0.8,1,False,14.202
swedish_german_slovak.txt,15.71,3,8,0,1,True,12.796
swedish_german_slovak.txt,26.29,3,8,0,1,False,12.75
swedish_german_slovak.txt,51.71,3,8,0.2,1,True,12.935
swedish_german_slovak.txt,36.19,3,8,0.2,1,False,12.906
swedish_german_slovak.txt,46.76,3,8,0.4,1,True,13.059
swedish_german_slovak.txt,27.33,3,8,0.4,1,False,12.924
swedish_german_slovak.txt,50.29,3,8,0.6,1,True,13.227
swedish_german_slovak.txt,30.1,3,8,0.6,1,False,13.223
swedish_german_slovak.txt,46.57,3,8,0.8,1,True,14.474
swedish_german_slovak.txt,23.33,3,8,0.8,1,False,14.227
swedish_german_slovak.txt,57.52,3,10,0,1,True,12.736
swedish_german_slovak.txt,40.19,3,10,0,1,False,12.768
swedish_german_slovak.txt,56.95,3,10,0.2,1,True,12.805
swedish_german_slovak.txt,26.57,3,10,0.2,1,False,12.782
swedish_german_slovak.txt,53.05,3,10,0.4,1,True,13.038
swedish_german_slovak.txt,28.86,3,10,0.4,1,False,12.881
swedish_german_slovak.txt,52.86,3,10,0.6,1,True,12.777
swedish_german_slovak.txt,37.62,3,10,0.6,1,False,13.064
swedish_german_slovak.txt,50.38,3,10,0.8,1,True,14.488
swedish_german_slovak.txt,28.38,3,10,0.8,1,False,14.522
swedish_german_slovak.txt,59.05,3,12,0,1,True,12.745
swedish_german_slovak.txt,13.81,3,12,0,1,False,12.629
swedish_german_slovak.txt,53.71,3,12,0.2,1,True,12.867
swedish_german_slovak.txt,29.24,3,12,0.2,1,False,12.664
swedish_german_slovak.txt,56.76,3,12,0.4,1,True,12.828
swedish_german_slovak.txt,26.38,3,12,0.4,1,False,12.815
swedish_german_slovak.txt,55.43,3,12,0.6,1,True,13.143
swedish_german_slovak.txt,40.0,3,12,0.6,1,False,13.154
swedish_german_slovak.txt,38.86,3,12,0.8,1,True,13.615
swedish_german_slovak.txt,40.38,3,12,0.8,1,False,13.522
swedish_german_slovak.txt,65.62,3,15,0,1,True,12.814
swedish_german_slovak.txt,26.76,3,15,0,1,False,12.746
swedish_german_slovak.txt,64.19,3,15,0.2,1,True,12.772
swedish_german_slovak.txt,25.9,3,15,0.2,1,False,12.676
swedish_german_slovak.txt,55.52,3,15,0.4,1,True,12.81
swedish_german_slovak.txt,26.19,3,15,0.4,1,False,12.767
swedish_german_slovak.txt,59.9,3,15,0.6,1,True,13.032
swedish_german_slovak.txt,26.48,3,15,0.6,1,False,12.773
swedish_german_slovak.txt,60.19,3,15,0.8,1,True,13.566
swedish_german_slovak.txt,26.86,3,15,0.8,1,False,13.787
swedish_german_slovak.txt,32.95,3,3,0,2,True,13.123
swedish_german_slovak.txt,40.86,3,3,0,2,False,13.353
swedish_german_slovak.txt,35.33,3,3,0.2,2,True,13.371
swedish_german_slovak.txt,39.71,3,3,0.2,2,False,13.814
swedish_german_slovak.txt,34.1,3,3,0.4,2,True,14.286
swedish_german_slovak.txt,39.05,3,3,0.4,2,False,14.885
swedish_german_slovak.txt,34.1,3,3,0.6,2,True,14.292
